Type,YEAR,UniqueID,Fate,COX_TIME,annual_prec_30year,CORE_AREA,Shrub_10M,ARTR_10M,Shrub_H_10M,ARTR_H_10M,VO,AnGrass_10M,PerGrass_10M,ResGrass_10M,FoodF_10M,NFoodF_10M,Bground_10M,Cactus_10M,BioCrust_10M,Rock_10M,Litter_10M,PerGrass_H_10M,ResGrass_H_10M,Shrub_5m,Artr_5m,Shrub_1m,Artr_1m,AnGrass_1M,PerGrass_1M,ResGrass_ 1M,FoodF_1M,NFoodF_1M,BGround_1M,Cactus_1M,BioCrust_1M,Rock_1M,Litter_1M,AnGrass_3M,PerGrass_3M,ResGrass_3M,FoodF_3M,NFoodF_3M,Bground_3M,Cactus_3M,BioCrust_3M,Rock_3M,Litter_3M,Gap_0.5M,Gap_1M,Gap_2M,Gap_3M,
Nest,2012,485,hatch,21,508.9200134,YES,40.85,39.95,47.75,49.42105263,38.75,0.677777778,14.88333333,2.155555556,10.97222222,2.472222222,32.16111111,0,4.083333333,7.538888889,38.77222222,33.42857143,10.42857143,39.7,37.9,50.5,50.5,0.61,12.65,2.05,12.51,0.72,34.25,0,3.62,11.74,41.15,0.7625,17.675,2.2875,9.05,4.6625,29.55,0,4.6625,2.2875,35.8,6,4,1,0,
Nest,2012,486,hatch,26,447.269989,YES,19.9,19.9,46,46,25,6.95,18.21111111,2.994444444,1.077777778,0.677777778,11.03333333,0,2.35,14.91666667,60.05,28.375,18.625,25.5,25.5,43.75,43.75,12.51,18.64,4.95,0.11,0.61,19.14,0,4.23,14.34,52.55,0,17.675,0.55,2.2875,0.7625,0.9,0,0,15.6375,69.425,4,3,2,1,
Nest,2012,487,fail,3,291.4899902,NO,28.1,28.1,44,44,37.5,0,18.27222222,11.6,4.144444444,2.072222222,13.59444444,0,9.361111111,2.472222222,49.60555556,28.55555556,24.77777778,40.7,40.7,86.75,86.75,0,16.35,6.74,3.73,3.12,13.23,0,4.23,0.72,60.65,0,20.675,17.675,4.6625,0.7625,14.05,0,15.775,4.6625,35.8,5,4,2,0,
Nest,2012,488,fail,21,291.4899902,NO,40.35,40.35,48.6875,48.6875,31.25,3.344444444,9.65,6.705555556,1.077777778,1.733333333,27.09444444,0,2.011111111,4.422222222,44.05,31.16666667,20.5,51.9,51.9,55.75,55.75,6.02,10.74,3.84,1.22,3.01,15.13,0,3.01,3.73,60.15,0,8.2875,10.2875,0.9,0.1375,42.05,0,0.7625,5.2875,23.925,4,4,1,1,
Nest,2012,489,hatch,28,363.4899902,YES,24.5,24.5,39.06666667,39.06666667,43.75,0,11.21666667,7.827777778,0.8,1.416666667,42.60555556,0,0,12.48888889,17.15555556,13.11111111,10.61111111,33.3,33.3,71.75,71.75,0,8.95,10.25,1.33,2.55,53.05,0,0,11.24,7.24,0,14.05,4.8,0.1375,0,29.55,0,0,14.05,29.55,4,3,2,1,
Nest,2012,490,hatch,20,348.230011,YES,19,14.15,42.78571429,53.125,21.25,0.338888889,11.93888889,10.32777778,3.744444444,2.011111111,24.48333333,0,3.683333333,6.583333333,39.82777778,26,22.22222222,30.6,27.5,53.75,53.75,0.61,12.65,7.35,6.63,3.01,21.04,0,3.62,10.52,36.15,0,11.05,14.05,0.1375,0.7625,28.7875,0,3.7625,1.6625,44.425,8,5,2,0,
Nest,2012,491,hatch,24,291.4899902,NO,43.9,41.05,53.05263158,56.70588235,38.75,2.35,18.71666667,9.272222222,5.966666667,2.35,31.43333333,0,3.366666667,8.316666667,34.66111111,39.625,19.57142857,39.3,38.3,63.25,63.25,1.22,17.15,4.95,7.51,4.23,30.54,0,1.22,10.63,29.25,3.7625,20.675,14.675,4.0375,0,32.55,0,6.05,5.425,41.425,5,2,0,0,
Nest,2012,492,hatch,28,363.4899902,YES,21.35,9.25,39.72727273,40.4,28.75,0,7.6,4.822222222,1.261111111,0.8,24.71666667,0,0,17.64444444,28.05,11.33333333,10.11111111,33.7,16.9,57.5,38,0,12.35,7.35,0.83,1.22,14.25,0,0,23.64,33.75,0,1.6625,1.6625,1.8,0.275,37.8,0,0,10.15,20.925,6,4,2,1,
Nest,2012,493,fail,7,329.4400024,YES,24.8,24.8,51.52941176,51.52941176,41.25,0.338888889,17.87222222,9.927777778,3.088888889,6.183333333,31.49444444,0.338888889,2.011111111,1.755555556,19.88333333,29.22222222,14.66666667,36.5,36.5,61.25,61.25,0,15.63,11.13,4.23,3.01,33.55,0.61,0.61,1.33,9.75,0.7625,20.675,8.425,1.6625,10.15,28.925,0,3.7625,2.2875,32.55,3,1,0,0,
Nest,2013,494,fail,4,341.7099915,NO,50.05,50.05,58.52631579,58.52631579,38.75,0.061111111,26.15555556,21.15555556,6.583333333,3.744444444,18.42777778,4.172222222,6.644444444,5.927777778,50.93888889,53.11111111,31.88888889,50.5,50.5,68.25,68.25,0.11,33.55,29.05,3.73,3.12,27.15,0,11.35,9.45,46.15,0,16.9125,11.2875,10.15,4.525,7.525,9.3875,0.7625,1.525,56.925,7,2,0,0,
Nest,2013,495,fail,13,388.7099915,YES,39.45,39.45,56.11764706,56.11764706,45,11.12222222,8.7,5.755555556,0.738888889,1.016666667,28.87777778,0,10.63333333,8.255555556,34.38333333,50.77777778,24.11111111,45.9,45.9,49.5,49.5,20.02,6.02,6.02,0.61,0.61,43.25,0,3.62,6.63,33.75,0,12.05,5.425,0.9,1.525,10.9125,0,19.4,10.2875,35.175,9,4,0,0,
Nest,2013,496,fail,2,285.3699951,YES,28.65,14.45,56.90909091,51.4,32.5,6.95,21.32777778,7.822222222,10.18888889,0.4,29.27222222,0,2.411111111,11.32222222,44.32777778,28.125,11.875,33.3,13.2,43.5,0,12.51,19.75,0.44,18.23,0.72,31.65,0,3.12,11.35,48.55,0,23.3,17.05,0.1375,0,26.3,0,1.525,11.2875,39.05,6,5,1,1,
