"","CountYear","Accipiter sp.","African Collared-Dove","American Black Duck x Mallard (hybrid)","American Coot","American Crow","American Dipper","American Goldfinch","American Kestrel","American Pipit","American Robin","American Three-toed Woodpecker","American Tree Sparrow","American Wigeon","Aythya sp.","Baird's Sparrow","Bald Eagle","Barn Owl","Barn Owl (American)","Barrow's Goldeneye","Belted Kingfisher","Black-and-white Warbler","Black-billed Magpie","Black-capped Chickadee","Black-crowned Night-Heron","Black Rosy-Finch","blackbird sp.","Blue-winged Teal","Blue Jay","Bohemian Waxwing","Bohemian/Cedar Waxwing","Bonaparte's Gull","Boreal Owl","Brant","Brant (Black)","Brewer's Blackbird","Brown-capped Rosy-Finch","Brown-headed Cowbird","Brown Creeper","Brown Thrasher","Bufflehead","Bushtit","Buteo sp.","Cackling Goose","Cackling/Canada Goose","California Gull","California Quail","Canada Goose","Canvasback","Canyon Wren","Cassin's Finch","Cedar Waxwing","chickadee sp.","Chukar","Cinnamon Teal","Clark's Nutcracker","Common Goldeneye","Common Grackle","Common Grackle (Purple)","Common Loon","Common Merganser","Common Raven","Common Redpoll","Common Yellowthroat","Common/Barrow's Goldeneye","Cooper's Hawk","crow sp.","Dark-eyed Junco","Dark-eyed Junco (cismontanus)","Dark-eyed Junco (Gray-headed)","Dark-eyed Junco (Oregon)","Dark-eyed Junco (Pink-sided)","Dark-eyed Junco (Slate-colored)","Dark-eyed Junco (Slate-colored/Cassiar)","Dark-eyed Junco (White-winged)","Domestic goose sp. (Domestic type) x Canada Goose (hybrid)","Double-crested Cormorant","Downy Woodpecker","duck sp.","Dusky/Sooty Grouse","eagle sp.","Eastern Bluebird","Eastern Screech-Owl","Eurasian Collared-Dove","Eurasian Wigeon","European Starling","Evening Grosbeak","falcon sp.","Ferruginous Hawk","Field Sparrow","Fox Sparrow","Gadwall","Golden-crowned Kinglet","Golden-crowned Sparrow","Golden Eagle","Gray-crowned Rosy-Finch","Gray Catbird","Gray Jay","Gray Partridge","Great-tailed Grackle","Great Blue Heron (Blue form)","Great Horned Owl","Greater Sage-Grouse","Greater Scaup","Greater White-fronted Goose","Greater White-fronted x Canada Goose (hybrid)","Greater/Lesser Scaup","Green-tailed Towhee","Green-winged Teal","Green-winged Teal (American)","gull sp.","Hairy Woodpecker","Harris's Hawk","Harris's Sparrow","Hermit Thrush","Herring Gull","Hooded Merganser","Horned Grebe","Horned Lark","House Finch","House Sparrow","House Wren","jay sp.","Killdeer","Lapland Longspur","Lazuli Bunting","Lesser Black-backed Gull","Lesser Goldfinch","Lesser Scaup","Lewis's Woodpecker","Lincoln's Sparrow","Loggerhead Shrike","Long-eared Owl","Long-tailed Duck","Mallard","Marsh Wren","Merlin","Mew Gull","Mountain Bluebird","Mountain Chickadee","Mourning Dove","Northern Bobwhite","Northern Flicker","Northern Flicker (intergrade)","Northern Flicker (Red-shafted)","Northern Flicker (Yellow-shafted)","Northern Goshawk","Northern Goshawk (American)","Northern Harrier","Northern Mockingbird","Northern Pintail","Northern Pygmy-Owl","Northern Saw-whet Owl","Northern Shoveler","Northern Shrike","Northern Waterthrush","Pacific/Winter Wren","Palm Warbler (Western)","Peregrine Falcon","Pied-billed Grebe","Pine Grosbeak","Pine Siskin","Pine Warbler","Pinyon Jay","Prairie Falcon","Purple Finch","Pygmy Nuthatch","Red-bellied Woodpecker","Red-breasted Merganser","Red-breasted Nuthatch","Red-headed Woodpecker","Red-lored Parrot","Red-naped Sapsucker","Red-necked Grebe","Red-tailed Hawk","Red-tailed Hawk (Harlan's)","Red-winged Blackbird","Red Crossbill","Redhead","Ring-billed Gull","Ring-necked Duck","Ring-necked Pheasant","Rock Pigeon (Feral Pigeon)","Rock Wren","Rose-breasted Grosbeak","Ross's Goose","rosy-finch sp.","Rough-legged Hawk","Ruby-crowned Kinglet","Ruddy Duck","Rusty Blackbird","Sage Thrasher","Sandhill Crane","sapsucker sp.","Savannah Sparrow","Scaled Quail","Scarlet Tanager","screech-owl sp.","Sharp-shinned Hawk","Short-eared Owl","shrike sp.","Snow Bunting","Snow Goose","Snow x Canada Goose (hybrid)","Song Sparrow","Song Sparrow (montana/merrilli)","Sora","sparrow sp.","Spotted Sandpiper","Spotted Towhee","Spotted/Eastern Towhee (Rufous-sided Towhee)","Steller's Jay","Swainson's Hawk","Swamp Sparrow","teal sp.","Thayer's Gull","Townsend's Solitaire","Trumpeter Swan","Tundra Swan","Turkey Vulture","Varied Thrush","Vesper Sparrow","Virginia Rail","Western Bluebird","Western Grebe","Western Meadowlark","Western Scrub-Jay","Western Scrub-Jay (Woodhouse's)","White-breasted Nuthatch","White-breasted Nuthatch (Interior West)","White-crowned Sparrow","White-crowned Sparrow (Gambel's)","White-throated Sparrow","White-winged Crossbill","White-winged Dove","White-winged Scoter","Wild Turkey","Wilson's Snipe","Wilson's/Common Snipe","Winter Wren","Wood Duck","wren sp.","Yellow-bellied Sapsucker","Yellow-headed Blackbird","Yellow-rumped Warbler","Yellow-rumped Warbler (Audubon's)","Yellow-rumped Warbler (Myrtle)","Yellow-throated Warbler"
"11",1955,NA,NA,NA,NA,"3",NA,"4","1",NA,"13",NA,"71",NA,NA,"1","1",NA,NA,NA,"2","cw","116","18",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,"8","150",NA,NA,NA,NA,"10",NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,"3","128",NA,"9",NA,"4",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"349","71",NA,NA,NA,NA,NA,"cw",NA,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,NA,NA,NA,NA,"2",NA,NA,"7",NA,NA,NA,NA,NA,NA,"3","39","281",NA,NA,"5",NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,"1186",NA,"1",NA,NA,"3",NA,NA,NA,NA,"56",NA,NA,NA,"1",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"110",NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,"4",NA,"535",NA,NA,NA,NA,"6",NA,"3",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,"1",NA,"22","1",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,"77",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1956,NA,NA,NA,NA,"5","2","36","2",NA,"cw",NA,"240","1",NA,NA,NA,NA,NA,NA,"1",NA,"100","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","40",NA,"1",NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,"332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"35",NA,NA,"4",NA,NA,NA,"1",NA,NA,NA,"10","82",NA,NA,"10",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,"803",NA,NA,NA,"cw","14",NA,NA,NA,NA,"29",NA,NA,NA,"5",NA,"3",NA,NA,"10","7",NA,NA,NA,NA,NA,NA,"107",NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,"4",NA,"61",NA,NA,NA,NA,"7",NA,"3",NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"91",NA,NA,NA,NA,"59",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1957,NA,NA,NA,NA,"3","3","7","3",NA,"1",NA,"17","3",NA,NA,"1",NA,NA,NA,NA,NA,"57","26",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"5",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",NA,NA,NA,NA,NA,NA,NA,"40",NA,"6",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"303",NA,NA,NA,NA,NA,"17","1",NA,"3",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"547",NA,NA,"2",NA,NA,NA,NA,NA,NA,"2","54","151",NA,"1","2",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,"5022",NA,NA,NA,NA,"4",NA,NA,NA,NA,"48",NA,NA,NA,"7",NA,"74",NA,NA,"4","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,"1",NA,NA,NA,NA,"2",NA,"40",NA,NA,"1",NA,"6",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"1","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1958,NA,NA,NA,NA,"168","8","3","7","1",NA,NA,"148","2",NA,NA,NA,NA,NA,NA,"1",NA,"134","19",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,"40",NA,"10",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"80",NA,NA,NA,NA,NA,NA,NA,NA,"4","208",NA,"5",NA,"2",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"2265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"4",NA,NA,"4","5","459",NA,"1","11",NA,NA,NA,NA,NA,"cw",NA,NA,NA,NA,"1339",NA,NA,NA,NA,"32","cw",NA,NA,NA,"73",NA,NA,NA,"9",NA,NA,NA,NA,NA,"3",NA,NA,NA,"1",NA,NA,"75",NA,"176","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,"5",NA,"2",NA,NA,"100",NA,"92",NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cw",NA,"1",NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,"17",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,"282",NA,NA,"2",NA,"42",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1959,NA,NA,NA,NA,NA,"4","11","1",NA,"35",NA,"19","1",NA,NA,"4",NA,NA,NA,"1",NA,"128","7",NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"167",NA,"3",NA,"14",NA,NA,NA,NA,"48",NA,NA,NA,"18","2",NA,NA,NA,NA,NA,NA,NA,"1","52",NA,"4",NA,"3",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"37",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"8",NA,NA,"166","15","235",NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,"22763",NA,NA,NA,NA,"6",NA,NA,NA,NA,"16",NA,NA,NA,"7",NA,NA,NA,NA,"2","1",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"8",NA,NA,NA,NA,"1",NA,NA,"2",NA,NA,NA,NA,"1",NA,"14",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"1","20",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1960,NA,NA,NA,NA,"2","5","3","6",NA,"cw",NA,"161","33",NA,NA,"3",NA,NA,NA,"3",NA,"76","30",NA,NA,NA,NA,"8","156",NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,"30","770",NA,"1","34",NA,NA,"14",NA,NA,"27",NA,NA,NA,"79",NA,NA,NA,NA,NA,NA,NA,NA,"1","134",NA,"5",NA,"1",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"218","92",NA,NA,NA,NA,"4","3",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"5",NA,NA,"2",NA,NA,NA,"2",NA,NA,"220","50","149",NA,NA,"33",NA,NA,NA,NA,"2","1",NA,NA,NA,NA,"3207",NA,NA,NA,NA,"34",NA,NA,NA,NA,"45",NA,NA,NA,"13",NA,"4",NA,NA,NA,"2",NA,NA,NA,NA,NA,"13","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,"43","9",NA,NA,NA,"62",NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,"4",NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,"122",NA,NA,NA,NA,NA,NA,NA,"72",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1961,NA,NA,NA,NA,NA,"1",NA,"1",NA,"12",NA,"114","38",NA,NA,NA,NA,NA,NA,"4",NA,"76","14",NA,NA,NA,NA,"5","65",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"19","564",NA,"1","25",NA,NA,"1",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","149","4",NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,"220","47",NA,NA,NA,NA,"20",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,"2",NA,"1",NA,"2",NA,NA,"52","19","219",NA,NA,"5",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"5206",NA,NA,NA,NA,"26","9",NA,NA,NA,"35",NA,NA,NA,"11",NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,"79",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"25",NA,NA,NA,NA,"57",NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,"10",NA,"cw",NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"31",NA,NA,NA,NA,"161",NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1962,NA,NA,NA,NA,"590","20","6","2",NA,"21",NA,"76","34",NA,NA,"1",NA,NA,NA,"5",NA,"160","47",NA,NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,"12",NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,"50","850",NA,"1",NA,"8",NA,NA,NA,NA,"20",NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,"1","100",NA,"13",NA,"1",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,"680","99",NA,NA,NA,"1","7",NA,NA,NA,NA,NA,"28",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"43",NA,"6",NA,NA,NA,NA,NA,NA,"17","63","860",NA,NA,"17",NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,"840",NA,NA,NA,NA,"79",NA,NA,NA,NA,"93",NA,NA,NA,"19",NA,"31",NA,NA,"12",NA,NA,NA,NA,NA,"2",NA,"37",NA,NA,"1",NA,NA,NA,NA,"2",NA,NA,NA,NA,"6",NA,"56",NA,NA,"48",NA,"200",NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,"1",NA,NA,"2",NA,"18",NA,NA,NA,NA,NA,NA,"50","1","1",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"91",NA,NA,"3",NA,"73",NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1963,NA,NA,NA,NA,"130","15","1","5",NA,"50",NA,"190","35",NA,NA,NA,NA,NA,NA,"3",NA,"150","46",NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,"85","1200","1",NA,"3",NA,NA,NA,NA,NA,"14",NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,"10","150",NA,"12",NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,"640","160",NA,NA,NA,NA,"11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23",NA,"2",NA,NA,NA,NA,NA,NA,"45","27","620",NA,NA,"18",NA,NA,NA,NA,"3","7",NA,NA,NA,NA,"3000",NA,NA,NA,NA,"3","2",NA,NA,NA,"65",NA,NA,NA,"9",NA,"7",NA,NA,"2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"4",NA,NA,NA,NA,"2",NA,"350",NA,"2",NA,NA,"110",NA,NA,NA,NA,NA,"2",NA,NA,NA,"1",NA,NA,NA,"58",NA,NA,NA,NA,NA,NA,NA,NA,"32",NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,"140",NA,NA,NA,NA,"160",NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1964,NA,NA,NA,"2","13","10","3","4",NA,NA,NA,"100","22",NA,NA,"2",NA,NA,NA,"1",NA,"93","16",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"5",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"21","1400",NA,NA,NA,NA,NA,NA,NA,NA,"37",NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,"8","79",NA,"15",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"310",NA,NA,NA,NA,NA,"8",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"55","87","370",NA,NA,"2",NA,NA,NA,NA,"31","5",NA,NA,NA,NA,"1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,"1",NA,"28",NA,NA,"8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"130",NA,"4",NA,NA,"15",NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,"78",NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"79",NA,NA,NA,NA,"42",NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1965,NA,NA,NA,"2","100","2","6","2",NA,"50",NA,"77","130",NA,NA,"2",NA,NA,NA,"6",NA,"150","37","1",NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,"2",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"6200",NA,"2","14","65",NA,NA,NA,NA,"17",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"6","120",NA,"15",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"440","4",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"44",NA,"2",NA,NA,NA,NA,NA,NA,NA,"16","100",NA,NA,"7",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"1900",NA,NA,NA,NA,"16",NA,NA,NA,NA,"47",NA,NA,NA,"8",NA,"21",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"40",NA,NA,"11",NA,"10",NA,NA,NA,NA,NA,"8","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"22",NA,NA,"4",NA,"160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"22",1966,NA,NA,NA,"4","390","5","32","12",NA,"4",NA,"250","130",NA,NA,"1",NA,NA,NA,"14",NA,"230","110",NA,NA,NA,NA,"34",NA,NA,NA,NA,NA,NA,NA,NA,"2","5",NA,"1",NA,NA,NA,NA,NA,NA,"5700",NA,"1","38","15",NA,NA,NA,NA,"24",NA,NA,NA,"63","3",NA,NA,NA,"1",NA,NA,NA,"2","120",NA,"21",NA,"1",NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,"960","280",NA,NA,NA,NA,"6",NA,NA,"5","54",NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,"710",NA,"5",NA,"1",NA,"5",NA,NA,"3","58","600",NA,NA,"26",NA,NA,NA,NA,"5","1",NA,NA,NA,"1","7000",NA,NA,NA,NA,"50",NA,NA,NA,NA,"81",NA,NA,NA,"7","1","250",NA,NA,"15","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"3",NA,NA,"3",NA,NA,NA,NA,"4","2","5200","7","3","110",NA,"42",NA,NA,NA,NA,NA,"11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,"4",NA,"17",NA,NA,NA,NA,NA,NA,"17",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,"69",NA,NA,"12",NA,"50",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA
"23",1967,NA,NA,NA,"10","870","11","55","4",NA,"87",NA,"130","150",NA,NA,"2",NA,NA,NA,"2",NA,"140","28",NA,NA,NA,NA,"31",NA,NA,NA,NA,NA,NA,"12",NA,NA,"4",NA,"2",NA,NA,NA,NA,NA,NA,"12000",NA,NA,NA,"30",NA,NA,NA,NA,"25",NA,NA,NA,"2","3",NA,NA,NA,"1",NA,NA,NA,"19","360",NA,"38",NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,"520",NA,NA,NA,NA,NA,"31",NA,NA,"4",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,"110",NA,"4",NA,"3",NA,NA,NA,NA,"35","32","360",NA,NA,"24",NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,"2600",NA,"1",NA,NA,"3",NA,NA,NA,NA,"85",NA,NA,NA,"3",NA,"5",NA,NA,"2","2",NA,NA,NA,NA,NA,NA,"46",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"55",NA,"2","3",NA,"35",NA,"1",NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"3",NA,"51",NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"130",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1968,NA,NA,NA,"11","1100","15","56","9",NA,"27",NA,"230","110",NA,NA,NA,NA,NA,NA,"7",NA,"180","110",NA,NA,NA,NA,"26","930",NA,NA,NA,NA,NA,"3","10",NA,"13","1",NA,NA,NA,NA,NA,NA,NA,"12000",NA,"3","5","21",NA,NA,NA,NA,"44",NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,"7","130",NA,"5",NA,"2",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,"880","110",NA,NA,NA,NA,"18",NA,NA,"2","280",NA,NA,NA,NA,NA,"3",NA,NA,"1",NA,NA,NA,NA,"90",NA,"4",NA,NA,NA,"4",NA,NA,NA,"87","1000",NA,NA,"15",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"3300",NA,NA,NA,NA,"53","8",NA,NA,NA,"100",NA,NA,NA,"16","1","21",NA,NA,"11","5",NA,NA,NA,NA,NA,NA,"2",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,"120",NA,"2",NA,NA,"47",NA,"2",NA,"1",NA,"7",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,"2",NA,"56",NA,NA,NA,NA,NA,NA,"26",NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,"48",NA,NA,"2",NA,"73",NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1969,NA,NA,NA,"17","990","9","31","12",NA,"350",NA,"9","620",NA,NA,NA,NA,NA,"2","8",NA,"290","45",NA,NA,NA,NA,"31",NA,NA,NA,NA,NA,NA,"1",NA,NA,"9",NA,"2",NA,NA,NA,NA,NA,NA,"14000",NA,"1",NA,NA,NA,NA,NA,NA,"36",NA,NA,NA,"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,"9",NA,"2",NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,"1800","73",NA,NA,NA,NA,"31","1",NA,"6",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"690",NA,"8",NA,NA,NA,"8","2",NA,"27","120","940",NA,NA,"19",NA,NA,NA,NA,"1","4",NA,NA,NA,NA,"9000",NA,"2",NA,"6","14",NA,NA,NA,NA,"58",NA,"1",NA,"11","1","30",NA,NA,"19","2",NA,NA,NA,NA,NA,NA,"300",NA,NA,"2",NA,NA,NA,NA,"18",NA,NA,NA,NA,"5","2","1000","2","7","3",NA,"33",NA,"1",NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"3",NA,NA,"3",NA,"19",NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,"37",NA,NA,"4",NA,"7",NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA
